Idx,Raw,Ref,Corrected,EchoIdx,Thickness_mm
0,4095,4095,0,18,2.50
1,3813,4095,0,18,2.50
2,3813,4095,0,18,2.50
3,3813,2638,1175,18,2.50
4,2466,2638,0,18,2.50
5,2466,2180,286,18,2.50
6,2086,2180,0,18,2.50
7,2086,2180,0,18,2.50
8,1861,1915,0,18,2.50
9,1861,1915,0,18,2.50
10,1861,3226,0,18,2.50
11,4095,3226,869,18,2.50
12,4095,3172,923,18,2.50
13,2922,3172,0,18,2.50
14,2922,3172,0,18,2.50
15,3725,2344,1381,18,2.50
16,3725,2344,1381,18,2.50
17,3725,2018,1707,18,2.50
18,4095,2018,2077,18,2.50
19,4095,2018,2077,18,2.50
20,4095,1811,2284,18,2.50
21,4095,1811,2284,18,2.50
22,4095,1648,2447,18,2.50
23,4095,1648,2447,18,2.50
24,4095,1507,2588,18,2.50
25,2540,1507,1033,18,2.50
26,2540,1507,1033,18,2.50
27,2565,1382,1183,18,2.50
28,2565,1382,1183,18,2.50
29,2565,1273,1292,18,2.50
30,2768,1273,1495,18,2.50
31,2768,1180,1588,18,2.50
32,4095,1180,2915,18,2.50
33,4095,1180,2915,18,2.50
34,3544,1087,2457,18,2.50
35,3544,1087,2457,18,2.50
36,3544,1007,2537,18,2.50
37,3776,1007,2769,18,2.50
38,3776,1007,2769,18,2.50
39,2511,927,1584,18,2.50
40,2511,927,1584,18,2.50
41,2511,860,1651,18,2.50
42,2719,860,1859,18,2.50
43,2719,796,1923,18,2.50
44,2200,796,1404,18,2.50
45,2200,796,1404,18,2.50
46,1931,737,1194,18,2.50
47,1931,737,1194,18,2.50
48,1931,685,1246,18,2.50
49,1749,685,1064,18,2.50
