Idx,Raw,Ref,Corrected,EchoIdx,Thickness_mm
0,4095,4095,0,22,8.30
1,4095,4095,0,22,8.30
2,4095,4095,0,22,8.30
3,2710,2638,72,22,8.30
4,2710,2638,72,22,8.30
5,2195,2180,15,22,8.30
6,2195,2180,15,22,8.30
7,1936,2180,0,22,8.30
8,1936,1915,21,22,8.30
9,1936,1915,21,22,8.30
10,4074,3226,848,22,8.30
11,4074,3226,848,22,8.30
12,3603,3172,431,22,8.30
13,3603,3172,431,22,8.30
14,3603,3172,431,22,8.30
15,2421,2344,77,22,8.30
16,2421,2344,77,22,8.30
17,2068,2018,50,22,8.30
18,2068,2018,50,22,8.30
19,1846,2018,0,22,8.30
20,1846,1811,35,22,8.30
21,1846,1811,35,22,8.30
22,3992,1648,2344,22,8.30
23,3992,1648,2344,22,8.30
24,2747,1507,1240,22,8.30
25,2747,1507,1240,22,8.30
26,2206,1507,699,22,8.30
27,2206,1382,824,22,8.30
28,2206,1382,824,22,8.30
29,1943,1273,670,22,8.30
30,1943,1273,670,22,8.30
31,1743,1180,563,22,8.30
32,1743,1180,563,22,8.30
33,1743,1180,563,22,8.30
34,1599,1087,512,22,8.30
35,1599,1087,512,22,8.30
36,1460,1007,453,22,8.30
37,1460,1007,453,22,8.30
38,1347,1007,340,22,8.30
39,1347,927,420,22,8.30
40,1347,927,420,22,8.30
41,1232,860,372,22,8.30
42,1232,860,372,22,8.30
43,1145,796,349,22,8.30
44,1145,796,349,22,8.30
45,1054,796,258,22,8.30
46,1054,737,317,22,8.30
47,1054,737,317,22,8.30
48,974,685,289,22,8.30
49,974,685,289,22,8.30
