Idx,Raw,Ref,Corrected,EchoIdx,Thickness_mm
0,4095,4095,0,16,0.00
1,4095,4095,0,16,0.00
2,3016,4095,0,16,0.00
3,3016,2638,378,16,0.00
4,2290,2638,0,16,0.00
5,2290,2180,110,16,0.00
6,2290,2180,110,16,0.00
7,1998,2180,0,16,0.00
8,1998,1915,83,16,0.00
9,1793,1915,0,16,0.00
10,1793,3226,0,16,0.00
11,1793,3226,0,16,0.00
12,3986,3172,814,16,0.00
13,3986,3172,814,16,0.00
14,2526,3172,0,16,0.00
15,2526,2344,182,16,0.00
16,4095,2344,1751,16,0.00
17,4095,2018,2077,16,0.00
18,4095,2018,2077,16,0.00
19,4095,2018,2077,16,0.00
20,4095,1811,2284,16,0.00
21,4036,1811,2225,16,0.00
22,4036,1648,2388,16,0.00
23,3086,1648,1438,16,0.00
24,3086,1507,1579,16,0.00
25,3086,1507,1579,16,0.00
26,3501,1507,1994,16,0.00
27,3501,1382,2119,16,0.00
28,3077,1382,1695,16,0.00
29,3077,1273,1804,16,0.00
30,3077,1273,1804,16,0.00
31,4095,1180,2915,16,0.00
32,4095,1180,2915,16,0.00
33,3266,1180,2086,16,0.00
34,3266,1087,2179,16,0.00
35,2765,1087,1678,16,0.00
36,2765,1007,1758,16,0.00
37,2765,1007,1758,16,0.00
38,3012,1007,2005,16,0.00
39,3012,927,2085,16,0.00
40,3446,927,2519,16,0.00
41,3446,860,2586,16,0.00
42,2391,860,1531,16,0.00
43,2391,796,1595,16,0.00
44,2391,796,1595,16,0.00
45,2046,796,1250,16,0.00
46,2046,737,1309,16,0.00
47,3167,737,2430,16,0.00
48,3167,685,2482,16,0.00
49,3167,685,2482,16,0.00
