Idx,Raw,Ref,Corrected,EchoIdx,Thickness_mm
0,4095,4095,0,16,0.00
1,4095,4095,0,16,0.00
2,3150,4095,0,16,0.00
3,3150,2638,512,16,0.00
4,2335,2638,0,16,0.00
5,2335,2180,155,16,0.00
6,2335,2180,155,16,0.00
7,2012,2180,0,16,0.00
8,2012,1915,97,16,0.00
9,1810,1915,0,16,0.00
10,1810,3226,0,16,0.00
11,4095,3226,869,16,0.00
12,4095,3172,923,16,0.00
13,4095,3172,923,16,0.00
14,2791,3172,0,16,0.00
15,2791,2344,447,16,0.00
16,4095,2344,1751,16,0.00
17,4095,2018,2077,16,0.00
18,3309,2018,1291,16,0.00
19,3309,2018,1291,16,0.00
20,3309,1811,1498,16,0.00
21,4095,1811,2284,16,0.00
22,4095,1648,2447,16,0.00
23,3356,1648,1708,16,0.00
24,3356,1507,1849,16,0.00
25,3356,1507,1849,16,0.00
26,3135,1507,1628,16,0.00
27,3135,1382,1753,16,0.00
28,2572,1382,1190,16,0.00
29,2572,1273,1299,16,0.00
30,2991,1273,1718,16,0.00
31,2991,1180,1811,16,0.00
32,2991,1180,1811,16,0.00
33,3838,1180,2658,16,0.00
34,3838,1087,2751,16,0.00
35,3000,1087,1913,16,0.00
36,3000,1007,1993,16,0.00
37,3143,1007,2136,16,0.00
38,3143,1007,2136,16,0.00
39,3143,927,2216,16,0.00
40,3280,927,2353,16,0.00
41,3280,860,2420,16,0.00
42,2383,860,1523,16,0.00
43,2383,796,1587,16,0.00
44,2383,796,1587,16,0.00
45,2053,796,1257,16,0.00
46,2053,737,1316,16,0.00
47,2132,737,1395,16,0.00
48,2132,685,1447,16,0.00
49,1892,685,1207,16,0.00
