Idx,Raw,Ref,Corrected,EchoIdx,Thickness_mm
0,4095,4095,0,20,5.40
1,4095,4095,0,20,5.40
2,4095,4095,0,20,5.40
3,2538,2638,0,20,5.40
4,2538,2638,0,20,5.40
5,2538,2180,358,20,5.40
6,2129,2180,0,20,5.40
7,2129,2180,0,20,5.40
8,1886,1915,0,20,5.40
9,1886,1915,0,20,5.40
10,4095,3226,869,20,5.40
11,4095,3226,869,20,5.40
12,4095,3172,923,20,5.40
13,2989,3172,0,20,5.40
14,2989,3172,0,20,5.40
15,2287,2344,0,20,5.40
16,2287,2344,0,20,5.40
17,2287,2018,269,20,5.40
18,1985,2018,0,20,5.40
19,1985,2018,0,20,5.40
20,3705,1811,1894,20,5.40
21,3705,1811,1894,20,5.40
22,3899,1648,2251,20,5.40
23,3899,1648,2251,20,5.40
24,3899,1507,2392,20,5.40
25,3777,1507,2270,20,5.40
26,3777,1507,2270,20,5.40
27,3302,1382,1920,20,5.40
28,3302,1382,1920,20,5.40
29,3377,1273,2104,20,5.40
30,3377,1273,2104,20,5.40
31,3377,1180,2197,20,5.40
32,4054,1180,2874,20,5.40
33,4054,1180,2874,20,5.40
34,3948,1087,2861,20,5.40
35,3948,1087,2861,20,5.40
36,3948,1007,2941,20,5.40
37,2983,1007,1976,20,5.40
38,2983,1007,1976,20,5.40
39,3607,927,2680,20,5.40
40,3607,927,2680,20,5.40
41,2865,860,2005,20,5.40
42,2865,860,2005,20,5.40
43,2865,796,2069,20,5.40
44,2239,796,1443,20,5.40
45,2239,796,1443,20,5.40
46,3479,737,2742,20,5.40
47,3479,737,2742,20,5.40
48,2390,685,1705,20,5.40
49,2390,685,1705,20,5.40
