Idx,Raw,Ref,Corrected,EchoIdx,Thickness_mm
0,4095,4095,0,18,2.50
1,4093,4095,0,18,2.50
2,4093,4095,0,18,2.50
3,2521,2638,0,18,2.50
4,2521,2638,0,18,2.50
5,2521,2180,341,18,2.50
6,2110,2180,0,18,2.50
7,2110,2180,0,18,2.50
8,1879,1915,0,18,2.50
9,1879,1915,0,18,2.50
10,3923,3226,697,18,2.50
11,3923,3226,697,18,2.50
12,3923,3172,751,18,2.50
13,3027,3172,0,18,2.50
14,3027,3172,0,18,2.50
15,4068,2344,1724,18,2.50
16,4068,2344,1724,18,2.50
17,4068,2018,2050,18,2.50
18,4095,2018,2077,18,2.50
19,4095,2018,2077,18,2.50
20,3564,1811,1753,18,2.50
21,3564,1811,1753,18,2.50
22,4095,1648,2447,18,2.50
23,4095,1648,2447,18,2.50
24,4095,1507,2588,18,2.50
25,2549,1507,1042,18,2.50
26,2549,1507,1042,18,2.50
27,2829,1382,1447,18,2.50
28,2829,1382,1447,18,2.50
29,2597,1273,1324,18,2.50
30,2597,1273,1324,18,2.50
31,2597,1180,1417,18,2.50
32,3093,1180,1913,18,2.50
33,3093,1180,1913,18,2.50
34,3863,1087,2776,18,2.50
35,3863,1087,2776,18,2.50
36,3863,1007,2856,18,2.50
37,2474,1007,1467,18,2.50
38,2474,1007,1467,18,2.50
39,2532,927,1605,18,2.50
40,2532,927,1605,18,2.50
41,2652,860,1792,18,2.50
42,2652,860,1792,18,2.50
43,2652,796,1856,18,2.50
44,2172,796,1376,18,2.50
45,2172,796,1376,18,2.50
46,1915,737,1178,18,2.50
47,1915,737,1178,18,2.50
48,1915,685,1230,18,2.50
49,1890,685,1205,18,2.50
