Idx,Raw,Ref,Corrected,EchoIdx,Thickness_mm
0,4095,4095,0,19,3.95
1,4095,4095,0,19,3.95
2,4095,4095,0,19,3.95
3,2722,2638,84,19,3.95
4,2722,2638,84,19,3.95
5,2202,2180,22,19,3.95
6,2202,2180,22,19,3.95
7,1936,2180,0,19,3.95
8,1936,1915,21,19,3.95
9,1936,1915,21,19,3.95
10,1933,3226,0,19,3.95
11,1933,3226,0,19,3.95
12,3135,3172,0,19,3.95
13,3135,3172,0,19,3.95
14,3135,3172,0,19,3.95
15,2949,2344,605,19,3.95
16,2949,2344,605,19,3.95
17,2268,2018,250,19,3.95
18,2268,2018,250,19,3.95
19,4095,2018,2077,19,3.95
20,4095,1811,2284,19,3.95
21,4095,1811,2284,19,3.95
22,3852,1648,2204,19,3.95
23,3852,1648,2204,19,3.95
24,3416,1507,1909,19,3.95
25,3416,1507,1909,19,3.95
26,3893,1507,2386,19,3.95
27,3893,1382,2511,19,3.95
28,3893,1382,2511,19,3.95
29,2981,1273,1708,19,3.95
30,2981,1273,1708,19,3.95
31,2291,1180,1111,19,3.95
32,2291,1180,1111,19,3.95
33,2291,1180,1111,19,3.95
34,3391,1087,2304,19,3.95
35,3391,1087,2304,19,3.95
36,3397,1007,2390,19,3.95
37,3397,1007,2390,19,3.95
38,3699,1007,2692,19,3.95
39,3699,927,2772,19,3.95
40,3699,927,2772,19,3.95
41,3347,860,2487,19,3.95
42,3347,860,2487,19,3.95
43,2368,796,1572,19,3.95
44,2368,796,1572,19,3.95
45,2847,796,2051,19,3.95
46,2847,737,2110,19,3.95
47,2847,737,2110,19,3.95
48,2529,685,1844,19,3.95
49,2529,685,1844,19,3.95
