Idx,Raw,Ref,Corrected,EchoIdx,Thickness_mm
0,4095,4095,0,16,0.00
1,4095,4095,0,16,0.00
2,3044,4095,0,16,0.00
3,3044,2638,406,16,0.00
4,2306,2638,0,16,0.00
5,2306,2180,126,16,0.00
6,2306,2180,126,16,0.00
7,1995,2180,0,16,0.00
8,1995,1915,80,16,0.00
9,1801,1915,0,16,0.00
10,1801,3226,0,16,0.00
11,1801,3226,0,16,0.00
12,3972,3172,800,16,0.00
13,3972,3172,800,16,0.00
14,2528,3172,0,16,0.00
15,2528,2344,184,16,0.00
16,4027,2344,1683,16,0.00
17,4027,2018,2009,16,0.00
18,4027,2018,2009,16,0.00
19,3448,2018,1430,16,0.00
20,3448,1811,1637,16,0.00
21,4095,1811,2284,16,0.00
22,4095,1648,2447,16,0.00
23,4024,1648,2376,16,0.00
24,4024,1507,2517,16,0.00
25,4024,1507,2517,16,0.00
26,3417,1507,1910,16,0.00
27,3417,1382,2035,16,0.00
28,2959,1382,1577,16,0.00
29,2959,1273,1686,16,0.00
30,2959,1273,1686,16,0.00
31,3702,1180,2522,16,0.00
32,3702,1180,2522,16,0.00
33,3456,1180,2276,16,0.00
34,3456,1087,2369,16,0.00
35,2823,1087,1736,16,0.00
36,2823,1007,1816,16,0.00
37,2823,1007,1816,16,0.00
38,3197,1007,2190,16,0.00
39,3197,927,2270,16,0.00
40,2681,927,1754,16,0.00
41,2681,860,1821,16,0.00
42,2185,860,1325,16,0.00
43,2185,796,1389,16,0.00
44,2185,796,1389,16,0.00
45,1931,796,1135,16,0.00
46,1931,737,1194,16,0.00
47,2815,737,2078,16,0.00
48,2815,685,2130,16,0.00
49,2815,685,2130,16,0.00
