Idx,Raw,Ref,Corrected,EchoIdx,Thickness_mm
0,4095,4095,0,18,2.50
1,3832,4095,0,18,2.50
2,3832,4095,0,18,2.50
3,3832,2638,1194,18,2.50
4,2465,2638,0,18,2.50
5,2465,2180,285,18,2.50
6,2095,2180,0,18,2.50
7,2095,2180,0,18,2.50
8,1862,1915,0,18,2.50
9,1862,1915,0,18,2.50
10,1862,3226,0,18,2.50
11,3794,3226,568,18,2.50
12,3794,3172,622,18,2.50
13,3219,3172,47,18,2.50
14,3219,3172,47,18,2.50
15,2343,2344,0,18,2.50
16,2343,2344,0,18,2.50
17,2343,2018,325,18,2.50
18,3157,2018,1139,18,2.50
19,3157,2018,1139,18,2.50
20,3371,1811,1560,18,2.50
21,3371,1811,1560,18,2.50
22,3371,1648,1723,18,2.50
23,4095,1648,2447,18,2.50
24,4095,1507,2588,18,2.50
25,4045,1507,2538,18,2.50
26,4045,1507,2538,18,2.50
27,4095,1382,2713,18,2.50
28,4095,1382,2713,18,2.50
29,4095,1273,2822,18,2.50
30,2805,1273,1532,18,2.50
31,2805,1180,1625,18,2.50
32,4095,1180,2915,18,2.50
33,4095,1180,2915,18,2.50
34,3541,1087,2454,18,2.50
35,3541,1087,2454,18,2.50
36,3541,1007,2534,18,2.50
37,2827,1007,1820,18,2.50
38,2827,1007,1820,18,2.50
39,3344,927,2417,18,2.50
40,3344,927,2417,18,2.50
41,3344,860,2484,18,2.50
42,2655,860,1795,18,2.50
43,2655,796,1859,18,2.50
44,2172,796,1376,18,2.50
45,2172,796,1376,18,2.50
46,3211,737,2474,18,2.50
47,3211,737,2474,18,2.50
48,3211,685,2526,18,2.50
49,2338,685,1653,18,2.50
