Idx,Raw,Ref,Corrected,EchoIdx,Thickness_mm
0,4095,4095,0,16,0.00
1,4095,4095,0,16,0.00
2,3339,4095,0,16,0.00
3,3339,2638,701,16,0.00
4,2372,2638,0,16,0.00
5,2372,2180,192,16,0.00
6,2040,2180,0,16,0.00
7,2040,2180,0,16,0.00
8,2040,1915,125,16,0.00
9,1826,1915,0,16,0.00
10,1826,3226,0,16,0.00
11,3896,3226,670,16,0.00
12,3896,3172,724,16,0.00
13,2781,3172,0,16,0.00
14,2781,3172,0,16,0.00
15,2781,2344,437,16,0.00
16,4095,2344,1751,16,0.00
17,4095,2018,2077,16,0.00
18,3548,2018,1530,16,0.00
19,3548,2018,1530,16,0.00
20,3548,1811,1737,16,0.00
21,4095,1811,2284,16,0.00
22,4095,1648,2447,16,0.00
23,3433,1648,1785,16,0.00
24,3433,1507,1926,16,0.00
25,4006,1507,2499,16,0.00
26,4006,1507,2499,16,0.00
27,4006,1382,2624,16,0.00
28,2758,1382,1376,16,0.00
29,2758,1273,1485,16,0.00
30,3016,1273,1743,16,0.00
31,3016,1180,1836,16,0.00
32,3016,1180,1836,16,0.00
33,4095,1180,2915,16,0.00
34,4095,1087,3008,16,0.00
35,3133,1087,2046,16,0.00
36,3133,1007,2126,16,0.00
37,3762,1007,2755,16,0.00
38,3762,1007,2755,16,0.00
39,3762,927,2835,16,0.00
40,2448,927,1521,16,0.00
41,2448,860,1588,16,0.00
42,2509,860,1649,16,0.00
43,2509,796,1713,16,0.00
44,2110,796,1314,16,0.00
45,2110,796,1314,16,0.00
46,2110,737,1373,16,0.00
47,3197,737,2460,16,0.00
48,3197,685,2512,16,0.00
49,2328,685,1643,16,0.00
