Idx,Raw,Ref,Corrected,EchoIdx,Thickness_mm
0,4095,4095,0,19,3.95
1,4095,4095,0,19,3.95
2,3036,4095,0,19,3.95
3,3036,2638,398,19,3.95
4,2306,2638,0,19,3.95
5,2306,2180,126,19,3.95
6,2306,2180,126,19,3.95
7,1998,2180,0,19,3.95
8,1998,1915,83,19,3.95
9,1799,1915,0,19,3.95
10,1799,3226,0,19,3.95
11,1799,3226,0,19,3.95
12,3916,3172,744,19,3.95
13,3916,3172,744,19,3.95
14,2498,3172,0,19,3.95
15,2498,2344,154,19,3.95
16,2105,2344,0,19,3.95
17,2105,2018,87,19,3.95
18,2105,2018,87,19,3.95
19,4010,2018,1992,19,3.95
20,4010,1811,2199,19,3.95
21,4095,1811,2284,19,3.95
22,4095,1648,2447,19,3.95
23,3558,1648,1910,19,3.95
24,3558,1507,2051,19,3.95
25,3558,1507,2051,19,3.95
26,4095,1507,2588,19,3.95
27,4095,1382,2713,19,3.95
28,3613,1382,2231,19,3.95
29,3613,1273,2340,19,3.95
30,3613,1273,2340,19,3.95
31,2518,1180,1338,19,3.95
32,2518,1180,1338,19,3.95
33,4095,1180,2915,19,3.95
34,4095,1087,3008,19,3.95
35,3713,1087,2626,19,3.95
36,3713,1007,2706,19,3.95
37,3713,1007,2706,19,3.95
38,3007,1007,2000,19,3.95
39,3007,927,2080,19,3.95
40,2674,927,1747,19,3.95
41,2674,860,1814,19,3.95
42,2561,860,1701,19,3.95
43,2561,796,1765,19,3.95
44,2561,796,1765,19,3.95
45,2137,796,1341,19,3.95
46,2137,737,1400,19,3.95
47,2660,737,1923,19,3.95
48,2660,685,1975,19,3.95
49,2660,685,1975,19,3.95
