Idx,Raw,Ref,Corrected,EchoIdx,Thickness_mm
0,4095,4095,0,16,0.00
1,3546,4095,0,16,0.00
2,3546,4095,0,16,0.00
3,3546,2638,908,16,0.00
4,2415,2638,0,16,0.00
5,2415,2180,235,16,0.00
6,2058,2180,0,16,0.00
7,2058,2180,0,16,0.00
8,2058,1915,143,16,0.00
9,1840,1915,0,16,0.00
10,1840,3226,0,16,0.00
11,4095,3226,869,16,0.00
12,4095,3172,923,16,0.00
13,2852,3172,0,16,0.00
14,2852,3172,0,16,0.00
15,2852,2344,508,16,0.00
16,3461,2344,1117,16,0.00
17,3461,2018,1443,16,0.00
18,3802,2018,1784,16,0.00
19,3802,2018,1784,16,0.00
20,4095,1811,2284,16,0.00
21,4095,1811,2284,16,0.00
22,4095,1648,2447,16,0.00
23,3760,1648,2112,16,0.00
24,3760,1507,2253,16,0.00
25,3623,1507,2116,16,0.00
26,3623,1507,2116,16,0.00
27,3623,1382,2241,16,0.00
28,2541,1382,1159,16,0.00
29,2541,1273,1268,16,0.00
30,2811,1273,1538,16,0.00
31,2811,1180,1631,16,0.00
32,4095,1180,2915,16,0.00
33,4095,1180,2915,16,0.00
34,4095,1087,3008,16,0.00
35,3313,1087,2226,16,0.00
36,3313,1007,2306,16,0.00
37,3647,1007,2640,16,0.00
38,3647,1007,2640,16,0.00
39,2433,927,1506,16,0.00
40,2433,927,1506,16,0.00
41,2433,860,1573,16,0.00
42,2666,860,1806,16,0.00
43,2666,796,1870,16,0.00
44,2178,796,1382,16,0.00
45,2178,796,1382,16,0.00
46,2178,737,1441,16,0.00
47,1986,737,1249,16,0.00
48,1986,685,1301,16,0.00
49,1873,685,1188,16,0.00
