Idx,Raw,Ref,Corrected,EchoIdx,Thickness_mm
0,4095,4095,0,18,2.50
1,3840,4095,0,18,2.50
2,3840,4095,0,18,2.50
3,3840,2638,1202,18,2.50
4,2472,2638,0,18,2.50
5,2472,2180,292,18,2.50
6,2090,2180,0,18,2.50
7,2090,2180,0,18,2.50
8,1862,1915,0,18,2.50
9,1862,1915,0,18,2.50
10,1862,3226,0,18,2.50
11,3008,3226,0,18,2.50
12,3008,3172,0,18,2.50
13,3491,3172,319,18,2.50
14,3491,3172,319,18,2.50
15,2394,2344,50,18,2.50
16,2394,2344,50,18,2.50
17,2394,2018,376,18,2.50
18,2467,2018,449,18,2.50
19,2467,2018,449,18,2.50
20,3403,1811,1592,18,2.50
21,3403,1811,1592,18,2.50
22,3403,1648,1755,18,2.50
23,4095,1648,2447,18,2.50
24,4095,1507,2588,18,2.50
25,4090,1507,2583,18,2.50
26,4090,1507,2583,18,2.50
27,4095,1382,2713,18,2.50
28,4095,1382,2713,18,2.50
29,4095,1273,2822,18,2.50
30,2701,1273,1428,18,2.50
31,2701,1180,1521,18,2.50
32,4095,1180,2915,18,2.50
33,4095,1180,2915,18,2.50
34,3637,1087,2550,18,2.50
35,3637,1087,2550,18,2.50
36,3637,1007,2630,18,2.50
37,2913,1007,1906,18,2.50
38,2913,1007,1906,18,2.50
39,3097,927,2170,18,2.50
40,3097,927,2170,18,2.50
41,3097,860,2237,18,2.50
42,2817,860,1957,18,2.50
43,2817,796,2021,18,2.50
44,2231,796,1435,18,2.50
45,2231,796,1435,18,2.50
46,3180,737,2443,18,2.50
47,3180,737,2443,18,2.50
48,3180,685,2495,18,2.50
49,2333,685,1648,18,2.50
