Idx,Raw,Ref,Corrected,EchoIdx,Thickness_mm
0,4095,4095,0,18,2.50
1,4095,4095,0,18,2.50
2,3171,4095,0,18,2.50
3,3171,2638,533,18,2.50
4,2342,2638,0,18,2.50
5,2342,2180,162,18,2.50
6,2342,2180,162,18,2.50
7,2014,2180,0,18,2.50
8,2014,1915,99,18,2.50
9,1813,1915,0,18,2.50
10,1813,3226,0,18,2.50
11,3296,3226,70,18,2.50
12,3296,3172,124,18,2.50
13,3296,3172,124,18,2.50
14,2863,3172,0,18,2.50
15,2863,2344,519,18,2.50
16,2241,2344,0,18,2.50
17,2241,2018,223,18,2.50
18,4095,2018,2077,18,2.50
19,4095,2018,2077,18,2.50
20,4095,1811,2284,18,2.50
21,4095,1811,2284,18,2.50
22,4095,1648,2447,18,2.50
23,3749,1648,2101,18,2.50
24,3749,1507,2242,18,2.50
25,3749,1507,2242,18,2.50
26,3762,1507,2255,18,2.50
27,3762,1382,2380,18,2.50
28,3773,1382,2391,18,2.50
29,3773,1273,2500,18,2.50
30,2649,1273,1376,18,2.50
31,2649,1180,1469,18,2.50
32,2649,1180,1469,18,2.50
33,4095,1180,2915,18,2.50
34,4095,1087,3008,18,2.50
35,3457,1087,2370,18,2.50
36,3457,1007,2450,18,2.50
37,2587,1007,1580,18,2.50
38,2587,1007,1580,18,2.50
39,2587,927,1660,18,2.50
40,3568,927,2641,18,2.50
41,3568,860,2708,18,2.50
42,2697,860,1837,18,2.50
43,2697,796,1901,18,2.50
44,2697,796,1901,18,2.50
45,2196,796,1400,18,2.50
46,2196,737,1459,18,2.50
47,2730,737,1993,18,2.50
48,2730,685,2045,18,2.50
49,3392,685,2707,18,2.50
