Idx,Raw,Ref,Corrected,EchoIdx,Thickness_mm
0,4095,4095,0,19,3.95
1,4095,4095,0,19,3.95
2,4095,4095,0,19,3.95
3,2716,2638,78,19,3.95
4,2716,2638,78,19,3.95
5,2202,2180,22,19,3.95
6,2202,2180,22,19,3.95
7,1932,2180,0,19,3.95
8,1932,1915,17,19,3.95
9,1932,1915,17,19,3.95
10,2722,3226,0,19,3.95
11,2722,3226,0,19,3.95
12,3388,3172,216,19,3.95
13,3388,3172,216,19,3.95
14,3388,3172,216,19,3.95
15,2600,2344,256,19,3.95
16,2600,2344,256,19,3.95
17,2149,2018,131,19,3.95
18,2149,2018,131,19,3.95
19,4095,2018,2077,19,3.95
20,4095,1811,2284,19,3.95
21,4095,1811,2284,19,3.95
22,3901,1648,2253,19,3.95
23,3901,1648,2253,19,3.95
24,3090,1507,1583,19,3.95
25,3090,1507,1583,19,3.95
26,3935,1507,2428,19,3.95
27,3935,1382,2553,19,3.95
28,3935,1382,2553,19,3.95
29,3011,1273,1738,19,3.95
30,3011,1273,1738,19,3.95
31,2495,1180,1315,19,3.95
32,2495,1180,1315,19,3.95
33,2495,1180,1315,19,3.95
34,3422,1087,2335,19,3.95
35,3422,1087,2335,19,3.95
36,3452,1007,2445,19,3.95
37,3452,1007,2445,19,3.95
38,3233,1007,2226,19,3.95
39,3233,927,2306,19,3.95
40,3233,927,2306,19,3.95
41,3263,860,2403,19,3.95
42,3263,860,2403,19,3.95
43,2358,796,1562,19,3.95
44,2358,796,1562,19,3.95
45,2317,796,1521,19,3.95
46,2317,737,1580,19,3.95
47,2317,737,1580,19,3.95
48,2536,685,1851,19,3.95
49,2536,685,1851,19,3.95
