Idx,Raw,Ref,Corrected,EchoIdx,Thickness_mm
0,4095,4095,0,20,5.40
1,4095,4095,0,20,5.40
2,4095,4095,0,20,5.40
3,2636,2638,0,20,5.40
4,2636,2638,0,20,5.40
5,2175,2180,0,20,5.40
6,2175,2180,0,20,5.40
7,2175,2180,0,20,5.40
8,1915,1915,0,20,5.40
9,1915,1915,0,20,5.40
10,3207,3226,0,20,5.40
11,3207,3226,0,20,5.40
12,3185,3172,13,20,5.40
13,3185,3172,13,20,5.40
14,3185,3172,13,20,5.40
15,2493,2344,149,20,5.40
16,2493,2344,149,20,5.40
17,2102,2018,84,20,5.40
18,2102,2018,84,20,5.40
19,2102,2018,84,20,5.40
20,4095,1811,2284,20,5.40
21,4095,1811,2284,20,5.40
22,4064,1648,2416,20,5.40
23,4064,1648,2416,20,5.40
24,3503,1507,1996,20,5.40
25,3503,1507,1996,20,5.40
26,3503,1507,1996,20,5.40
27,3644,1382,2262,20,5.40
28,3644,1382,2262,20,5.40
29,2925,1273,1652,20,5.40
30,2925,1273,1652,20,5.40
31,2431,1180,1251,20,5.40
32,2431,1180,1251,20,5.40
33,2431,1180,1251,20,5.40
34,4095,1087,3008,20,5.40
35,4095,1087,3008,20,5.40
36,3253,1007,2246,20,5.40
37,3253,1007,2246,20,5.40
38,3253,1007,2246,20,5.40
39,3955,927,3028,20,5.40
40,3955,927,3028,20,5.40
41,2916,860,2056,20,5.40
42,2916,860,2056,20,5.40
43,2258,796,1462,20,5.40
44,2258,796,1462,20,5.40
45,2258,796,1462,20,5.40
46,4079,737,3342,20,5.40
47,4079,737,3342,20,5.40
48,2495,685,1810,20,5.40
49,2495,685,1810,20,5.40
